MISTER-BENCH fps=35.6
MISTER-PROF samples=23643 dropped=0 hz=1000 modules=12
MISTER-PROF-PC 59  0.25% 0xabc19ad8 [unmapped]
MISTER-PROF-PC 59  0.25% 0x01cfee68 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 59  0.25% 0xabc19a50 [unmapped]
MISTER-PROF-PC 58  0.25% 0xabc96c50 [unmapped]
MISTER-PROF-PC 57  0.24% 0x01e50c58 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 57  0.24% 0x01cfedfc /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 56  0.24% 0x01e50c88 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 56  0.24% 0x01cfed8c /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 55  0.23% 0xabc96d44 [unmapped]
MISTER-PROF-PC 55  0.23% 0xabc19a94 [unmapped]
MISTER-PROF-PC 54  0.23% 0x01d9336c /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 54  0.23% 0xabc19a58 [unmapped]
MISTER-PROF-PC 53  0.22% 0x01b75cec /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 52  0.22% 0xabc96be0 [unmapped]
MISTER-PROF-PC 52  0.22% 0x01cfeba0 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 52  0.22% 0x01d93440 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 51  0.22% 0xabc96c58 [unmapped]
MISTER-PROF-PC 50  0.21% 0xabc96be8 [unmapped]
MISTER-PROF-PC 50  0.21% 0xabc19ba4 [unmapped]
MISTER-PROF-PC 50  0.21% 0xabc96d4c [unmapped]
MISTER-PROF-PC 49  0.21% 0xabc19a7c [unmapped]
MISTER-PROF-PC 49  0.21% 0xabc19b00 [unmapped]
MISTER-PROF-PC 49  0.21% 0x01cfed18 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 48  0.20% 0xabc19a80 [unmapped]
MISTER-PROF-PC 48  0.20% 0xabc96be4 [unmapped]
MISTER-PROF-PC 48  0.20% 0x01cfec94 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 48  0.20% 0x01cfecc4 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 48  0.20% 0xabc19b8c [unmapped]
MISTER-PROF-PC 48  0.20% 0xabc96cf0 [unmapped]
MISTER-PROF-PC 47  0.20% 0xabc19c20 [unmapped]
MISTER-PROF-PC 47  0.20% 0xabc96cd8 [unmapped]
MISTER-PROF-PC 47  0.20% 0x01d9e4e8 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 47  0.20% 0x01cfed20 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 47  0.20% 0x00178654 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 46  0.19% 0xabc19b18 [unmapped]
MISTER-PROF-PC 46  0.19% 0x00178658 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 46  0.19% 0x01cfebc8 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 46  0.19% 0xabc96cf4 [unmapped]
MISTER-PROF-PC 45  0.19% 0x01cfee30 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 45  0.19% 0xabc19c08 [unmapped]
MISTER-PROF-PC 45  0.19% 0xabc19b10 [unmapped]
MISTER-PROF-PC 45  0.19% 0xabc19c3c [unmapped]
MISTER-PROF-PC 45  0.19% 0xabc96ca8 [unmapped]
MISTER-PROF-PC 45  0.19% 0xabc96ca4 [unmapped]
MISTER-PROF-PC 45  0.19% 0xabc96ca0 [unmapped]
MISTER-PROF-PC 45  0.19% 0xabc96bf4 [unmapped]
MISTER-PROF-PC 44  0.19% 0x01cfeb60 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 44  0.19% 0xabc96d30 [unmapped]
MISTER-PROF-PC 44  0.19% 0x01cfee60 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 44  0.19% 0xabc96d90 [unmapped]
MISTER-PROF-PC 44  0.19% 0xabc96d8c [unmapped]
MISTER-PROF-PC 43  0.18% 0x01d93384 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 43  0.18% 0x01cfed98 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 43  0.18% 0xabc96bcc [unmapped]
MISTER-PROF-PC 43  0.18% 0xabc19aec [unmapped]
MISTER-PROF-PC 43  0.18% 0x01cfec0c /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 42  0.18% 0x01d93460 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 42  0.18% 0x01cfeb48 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 42  0.18% 0x01cfeb98 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 42  0.18% 0xabc96bc8 [unmapped]
MISTER-PROF-PC 42  0.18% 0xabc19ae4 [unmapped]
MISTER-PROF-PC 41  0.17% 0x01e50c14 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 41  0.17% 0xabc96dfc [unmapped]
MISTER-PROF-PC 41  0.17% 0xabc19c38 [unmapped]
MISTER-PROF-PC 41  0.17% 0x01b75a48 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 41  0.17% 0x01cfee48 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 41  0.17% 0xabc96cec [unmapped]
MISTER-PROF-PC 40  0.17% 0x01cfec04 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 40  0.17% 0x00094f08 /usr/lib/libc-2.31.so
MISTER-PROF-PC 40  0.17% 0x001797a8 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 40  0.17% 0xabc96b8c [unmapped]
MISTER-PROF-PC 40  0.17% 0x01cfe968 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 40  0.17% 0x00178628 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 40  0.17% 0xabc19b04 [unmapped]
MISTER-PROF-PC 40  0.17% 0xabc19ba0 [unmapped]
MISTER-PROF-PC 40  0.17% 0x01d93430 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 40  0.17% 0xabc19ae0 [unmapped]
MISTER-PROF-PC 39  0.16% 0x00059d5c /usr/lib/libc-2.31.so
MISTER-PROF-PC 39  0.16% 0xabc19a78 [unmapped]
MISTER-PROF-PC 39  0.16% 0xabc19a70 [unmapped]
MISTER-PROF-PC 39  0.16% 0xabc96d18 [unmapped]
MISTER-PROF-PC 39  0.16% 0x00005618 /media/fat/games/mame/prof/lrmame-prof
MISTER-PROF-PC 38  0.16% 0xabc19adc [unmapped]
MISTER-PROF-PC 38  0.16% 0xabc96d34 [unmapped]
MISTER-PROF-PC 38  0.16% 0xabc96b9c [unmapped]
MISTER-PROF-PC 38  0.16% 0xabc96b98 [unmapped]
MISTER-PROF-PC 38  0.16% 0xabc96c34 [unmapped]
MISTER-PROF-PC 38  0.16% 0xabc19c10 [unmapped]
MISTER-PROF-PC 38  0.16% 0xabc96d74 [unmapped]
MISTER-PROF-PC 38  0.16% 0x00179794 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 38  0.16% 0x00059d3c /usr/lib/libc-2.31.so
MISTER-PROF-PC 38  0.16% 0xabc19a64 [unmapped]
MISTER-PROF-PC 38  0.16% 0xabc19a54 [unmapped]
MISTER-PROF-PC 38  0.16% 0x01cfebd0 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 38  0.16% 0xabc96c00 [unmapped]
MISTER-PROF-PC 37  0.16% 0x01e50c54 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 37  0.16% 0x01cfee50 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 37  0.16% 0x01cfeb6c /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 36  0.15% 0xabc96c8c [unmapped]
MISTER-PROF-PC 36  0.15% 0x01cfee38 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 36  0.15% 0x01cfe970 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 36  0.15% 0xabc19b70 [unmapped]
MISTER-PROF-PC 36  0.15% 0x01cfecdc /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 36  0.15% 0xabc19a6c [unmapped]
MISTER-PROF-PC 36  0.15% 0x01cfee0c /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 36  0.15% 0x01b75cd8 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 36  0.15% 0x01cfecbc /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 35  0.15% 0xabc96c40 [unmapped]
MISTER-PROF-PC 35  0.15% 0xabc19c0c [unmapped]
MISTER-PROF-PC 35  0.15% 0xabc96c24 [unmapped]
MISTER-PROF-PC 35  0.15% 0x01cfed28 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 35  0.15% 0x01cfec34 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 35  0.15% 0xabc19b9c [unmapped]
MISTER-PROF-PC 35  0.15% 0x01d9e394 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 35  0.15% 0xabc96c54 [unmapped]
MISTER-PROF-PC 34  0.14% 0xabc96d84 [unmapped]
MISTER-PROF-PC 34  0.14% 0xabc96c3c [unmapped]
MISTER-PROF-PC 34  0.14% 0xabc19b1c [unmapped]
MISTER-PROF-PC 34  0.14% 0xabc19b14 [unmapped]
MISTER-PROF-PC 34  0.14% 0xabc19c00 [unmapped]
MISTER-PROF-PC 34  0.14% 0xabc19a68 [unmapped]
MISTER-PROF-PC 34  0.14% 0x01d9e398 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 34  0.14% 0x01cfec60 /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 34  0.14% 0x01cfecac /media/fat/games/mame/prof/lrmame_libretro.so
MISTER-PROF-PC 33  0.14% 0x01cfecf4 /media/fat/games/mame/prof/lrmame_libretro.so
